values,unit,isced11,geo,time
16.0,RT,ED02-8,AT11,2018
16.8,RT,ED02-8,AT12,2018
24.9,RT,ED02-8,AT13,2018
17.0,RT,ED02-8,AT21,2018
18.7,RT,ED02-8,AT22,2018
18.3,RT,ED02-8,AT31,2018
20.6,RT,ED02-8,AT32,2018
20.7,RT,ED02-8,AT33,2018
17.1,RT,ED02-8,AT34,2018
36.5,RT,ED02-8,BE10,2018
25.8,RT,ED02-8,BE21,2018
25.1,RT,ED02-8,BE22,2018
28.3,RT,ED02-8,BE23,2018
23.0,RT,ED02-8,BE24,2018
22.6,RT,ED02-8,BE25,2018
27.2,RT,ED02-8,BE31,2018
25.6,RT,ED02-8,BE32,2018
25.1,RT,ED02-8,BE33,2018
25.8,RT,ED02-8,BE34,2018
26.1,RT,ED02-8,BE35,2018
,RT,ED02-8,BEZZ,2018
14.7,RT,ED02-8,BG31,2018
16.9,RT,ED02-8,BG32,2018
17.2,RT,ED02-8,BG33,2018
16.2,RT,ED02-8,BG34,2018
19.3,RT,ED02-8,BG41,2018
16.2,RT,ED02-8,BG42,2018
,RT,ED02-8,BGZZ,2018
21.1,RT,ED02-8,CH01,2018
18.5,RT,ED02-8,CH02,2018
16.9,RT,ED02-8,CH03,2018
20.9,RT,ED02-8,CH04,2018
17.0,RT,ED02-8,CH05,2018
17.5,RT,ED02-8,CH06,2018
17.7,RT,ED02-8,CH07,2018
21.3,RT,ED02-8,CY00,2018
27.1,RT,ED02-8,CZ01,2018
16.4,RT,ED02-8,CZ02,2018
18.8,RT,ED02-8,CZ03,2018
17.4,RT,ED02-8,CZ04,2018
18.4,RT,ED02-8,CZ05,2018
20.5,RT,ED02-8,CZ06,2018
19.4,RT,ED02-8,CZ07,2018
18.6,RT,ED02-8,CZ08,2018
26.0,RT,ED02-8,DK01,2018
23.8,RT,ED02-8,DK02,2018
25.6,RT,ED02-8,DK03,2018
26.8,RT,ED02-8,DK04,2018
25.5,RT,ED02-8,DK05,2018
,RT,ED02-8,EE00,2018
21.6,RT,ED02-8,EL30,2018
19.9,RT,ED02-8,EL41,2018
17.2,RT,ED02-8,EL42,2018
24.0,RT,ED02-8,EL43,2018
20.6,RT,ED02-8,EL51,2018
22.5,RT,ED02-8,EL52,2018
25.3,RT,ED02-8,EL53,2018
23.0,RT,ED02-8,EL54,2018
19.3,RT,ED02-8,EL61,2018
20.7,RT,ED02-8,EL62,2018
29.5,RT,ED02-8,EL63,2018
16.7,RT,ED02-8,EL64,2018
15.6,RT,ED02-8,EL65,2018
17.4,RT,ED02-8,ES11,2018
16.3,RT,ED02-8,ES12,2018
19.1,RT,ED02-8,ES13,2018
20.6,RT,ED02-8,ES21,2018
21.5,RT,ED02-8,ES22,2018
26.5,RT,ED02-8,ES23,2018
19.6,RT,ED02-8,ES24,2018
23.1,RT,ED02-8,ES30,2018
18.7,RT,ED02-8,ES41,2018
19.9,RT,ED02-8,ES42,2018
19.7,RT,ED02-8,ES43,2018
21.8,RT,ED02-8,ES51,2018
21.0,RT,ED02-8,ES52,2018
17.9,RT,ED02-8,ES53,2018
21.8,RT,ED02-8,ES61,2018
23.9,RT,ED02-8,ES62,2018
26.6,RT,ED02-8,ES63,2018
27.8,RT,ED02-8,ES64,2018
19.2,RT,ED02-8,ES70,2018
114.9,RT,ED02-8,EU27_2020,2018
114.7,RT,ED02-8,EU28,2018
26.7,RT,ED02-8,FI19,2018
27.0,RT,ED02-8,FI1B,2018
24.3,RT,ED02-8,FI1C,2018
26.5,RT,ED02-8,FI1D,2018
19.5,RT,ED02-8,FI20,2018
25.8,RT,ED02-8,FR10,2018
21.4,RT,ED02-8,FRB0,2018
20.4,RT,ED02-8,FRC1,2018
22.3,RT,ED02-8,FRC2,2018
21.3,RT,ED02-8,FRD1,2018
23.5,RT,ED02-8,FRD2,2018
25.6,RT,ED02-8,FRE1,2018
22.7,RT,ED02-8,FRE2,2018
22.6,RT,ED02-8,FRF1,2018
21.8,RT,ED02-8,FRF2,2018
21.7,RT,ED02-8,FRF3,2018
23.5,RT,ED02-8,FRG0,2018
22.9,RT,ED02-8,FRH0,2018
21.5,RT,ED02-8,FRI1,2018
19.4,RT,ED02-8,FRI2,2018
20.5,RT,ED02-8,FRI3,2018
22.1,RT,ED02-8,FRJ1,2018
22.0,RT,ED02-8,FRJ2,2018
20.6,RT,ED02-8,FRK1,2018
24.2,RT,ED02-8,FRK2,2018
21.8,RT,ED02-8,FRL0,2018
16.4,RT,ED02-8,FRM0,2018
26.7,RT,ED02-8,FRY1,2018
21.7,RT,ED02-8,FRY2,2018
30.9,RT,ED02-8,FRY3,2018
28.9,RT,ED02-8,FRY4,2018
39.0,RT,ED02-8,FRY5,2018
18.2,RT,ED02-8,HR03,2018
19.2,RT,ED02-8,HR04,2018
25.3,RT,ED02-8,HU11,2018
16.0,RT,ED02-8,HU12,2018
16.5,RT,ED02-8,HU21,2018
16.9,RT,ED02-8,HU22,2018
17.5,RT,ED02-8,HU23,2018
18.0,RT,ED02-8,HU31,2018
19.4,RT,ED02-8,HU32,2018
18.2,RT,ED02-8,HU33,2018
30.1,RT,ED02-8,IE04,2018
30.4,RT,ED02-8,IE05,2018
29.1,RT,ED02-8,IE06,2018
28.6,RT,ED02-8,IS00,2018
17.1,RT,ED02-8,ITC1,2018
15.5,RT,ED02-8,ITC2,2018
15.3,RT,ED02-8,ITC3,2018
18.0,RT,ED02-8,ITC4,2018
17.7,RT,ED02-8,ITF1,2018
