values,unit,age,geo,time
97.3,RT,Y4,AT11,2018
97.5,RT,Y4,AT12,2018
93.4,RT,Y4,AT13,2018
86.6,RT,Y4,AT21,2018
89.0,RT,Y4,AT22,2018
94.8,RT,Y4,AT31,2018
94.0,RT,Y4,AT32,2018
95.6,RT,Y4,AT33,2018
96.1,RT,Y4,AT34,2018
100.0,RT,Y4,BE10,2018
100.0,RT,Y4,BE21,2018
100.0,RT,Y4,BE22,2018
100.0,RT,Y4,BE23,2018
91.0,RT,Y4,BE24,2018
100.0,RT,Y4,BE25,2018
97.7,RT,Y4,BE31,2018
99.0,RT,Y4,BE32,2018
92.6,RT,Y4,BE33,2018
100.0,RT,Y4,BE34,2018
97.5,RT,Y4,BE35,2018
79.7,RT,Y4,BG31,2018
79.1,RT,Y4,BG32,2018
76.2,RT,Y4,BG33,2018
68.6,RT,Y4,BG34,2018
81.4,RT,Y4,BG41,2018
73.7,RT,Y4,BG42,2018
,RT,Y4,BGZZ,2018
59.2,RT,Y4,CH01,2018
47.3,RT,Y4,CH02,2018
51.8,RT,Y4,CH03,2018
44.5,RT,Y4,CH04,2018
39.4,RT,Y4,CH05,2018
27.3,RT,Y4,CH06,2018
96.7,RT,Y4,CH07,2018
91.9,RT,Y4,CY00,2018
86.7,RT,Y4,CZ01,2018
87.2,RT,Y4,CZ02,2018
91.9,RT,Y4,CZ03,2018
81.5,RT,Y4,CZ04,2018
90.3,RT,Y4,CZ05,2018
92.3,RT,Y4,CZ06,2018
92.2,RT,Y4,CZ07,2018
89.0,RT,Y4,CZ08,2018
99.6,RT,Y4,DK01,2018
98.4,RT,Y4,DK02,2018
99.8,RT,Y4,DK03,2018
100.0,RT,Y4,DK04,2018
98.8,RT,Y4,DK05,2018
92.0,RT,Y4,EE00,2018
39.8,RT,Y4,EL30,2018
67.2,RT,Y4,EL41,2018
65.7,RT,Y4,EL42,2018
65.4,RT,Y4,EL43,2018
60.0,RT,Y4,EL51,2018
62.9,RT,Y4,EL52,2018
76.7,RT,Y4,EL53,2018
61.1,RT,Y4,EL54,2018
64.0,RT,Y4,EL61,2018
71.4,RT,Y4,EL62,2018
65.2,RT,Y4,EL63,2018
70.0,RT,Y4,EL64,2018
59.5,RT,Y4,EL65,2018
98.2,RT,Y4,ES11,2018
98.4,RT,Y4,ES12,2018
97.8,RT,Y4,ES13,2018
98.9,RT,Y4,ES21,2018
99.1,RT,Y4,ES22,2018
98.2,RT,Y4,ES23,2018
98.0,RT,Y4,ES24,2018
97.0,RT,Y4,ES30,2018
98.7,RT,Y4,ES41,2018
97.7,RT,Y4,ES42,2018
99.8,RT,Y4,ES43,2018
97.6,RT,Y4,ES51,2018
96.3,RT,Y4,ES52,2018
94.5,RT,Y4,ES53,2018
98.0,RT,Y4,ES61,2018
99.1,RT,Y4,ES62,2018
100.0,RT,Y4,ES63,2018
90.6,RT,Y4,ES64,2018
95.9,RT,Y4,ES70,2018
93.3,RT,Y4,EU27_2020,2018
97.4,RT,Y4,EU28,2018
81.0,RT,Y4,FI19,2018
87.5,RT,Y4,FI1B,2018
83.5,RT,Y4,FI1C,2018
76.8,RT,Y4,FI1D,2018
95.4,RT,Y4,FI20,2018
100.0,RT,Y4,FR10,2018
99.8,RT,Y4,FRB0,2018
99.6,RT,Y4,FRC1,2018
100.0,RT,Y4,FRC2,2018
100.0,RT,Y4,FRD1,2018
100.0,RT,Y4,FRD2,2018
100.0,RT,Y4,FRE1,2018
98.7,RT,Y4,FRE2,2018
99.9,RT,Y4,FRF1,2018
100.0,RT,Y4,FRF2,2018
100.0,RT,Y4,FRF3,2018
100.0,RT,Y4,FRG0,2018
100.0,RT,Y4,FRH0,2018
100.0,RT,Y4,FRI1,2018
99.4,RT,Y4,FRI2,2018
100.0,RT,Y4,FRI3,2018
100.0,RT,Y4,FRJ1,2018
100.0,RT,Y4,FRJ2,2018
100.0,RT,Y4,FRK1,2018
100.0,RT,Y4,FRK2,2018
100.0,RT,Y4,FRL0,2018
93.4,RT,Y4,FRM0,2018
100.0,RT,Y4,FRY1,2018
100.0,RT,Y4,FRY2,2018
92.0,RT,Y4,FRY3,2018
100.0,RT,Y4,FRY4,2018
83.5,RT,Y4,FRY5,2018
71.1,RT,Y4,HR03,2018
68.8,RT,Y4,HR04,2018
92.4,RT,Y4,HU11,2018
93.0,RT,Y4,HU12,2018
96.5,RT,Y4,HU21,2018
93.9,RT,Y4,HU22,2018
96.7,RT,Y4,HU23,2018
99.5,RT,Y4,HU31,2018
96.5,RT,Y4,HU32,2018
97.8,RT,Y4,HU33,2018
100.0,RT,Y4,IE04,2018
100.0,RT,Y4,IE05,2018
100.0,RT,Y4,IE06,2018
97.1,RT,Y4,IS00,2018
94.9,RT,Y4,ITC1,2018
97.2,RT,Y4,ITC2,2018
95.7,RT,Y4,ITC3,2018
92.0,RT,Y4,ITC4,2018
97.2,RT,Y4,ITF1,2018
95.3,RT,Y4,ITF2,2018
99.3,RT,Y4,ITF3,2018
97.8,RT,Y4,ITF4,2018
98.4,RT,Y4,ITF5,2018
98.7,RT,Y4,ITF6,2018
95.5,RT,Y4,ITG1,2018
96.6,RT,Y4,ITG2,2018
96.9,RT,Y4,ITH1,2018
97.2,RT,Y4,ITH2,2018
94.0,RT,Y4,ITH3,2018
95.7,RT,Y4,ITH4,2018
92.2,RT,Y4,ITH5,2018
95.0,RT,Y4,ITI1,2018
95.7,RT,Y4,ITI2,2018
95.3,RT,Y4,ITI3,2018
87.8,RT,Y4,ITI4,2018
,RT,Y4,LI00,2018
95.7,RT,Y4,LT01,2018
81.8,RT,Y4,LT02,2018
96.7,RT,Y4,LU00,2018
93.5,RT,Y4,LV00,2018
,RT,Y4,ME00,2018
39.0,RT,Y4,MK00,2018
95.3,RT,Y4,MT00,2018
94.5,RT,Y4,NL11,2018
94.8,RT,Y4,NL12,2018
94.7,RT,Y4,NL13,2018
95.2,RT,Y4,NL21,2018
94.5,RT,Y4,NL22,2018
94.3,RT,Y4,NL23,2018
95.4,RT,Y4,NL31,2018
94.4,RT,Y4,NL32,2018
95.1,RT,Y4,NL33,2018
92.4,RT,Y4,NL34,2018
94.9,RT,Y4,NL41,2018
93.1,RT,Y4,NL42,2018
96.4,RT,Y4,NO01,2018
98.3,RT,Y4,NO02,2018
96.5,RT,Y4,NO03,2018
97.0,RT,Y4,NO04,2018
98.0,RT,Y4,NO05,2018
98.7,RT,Y4,NO06,2018
98.4,RT,Y4,NO07,2018
87.8,RT,Y4,PL21,2018
88.8,RT,Y4,PL22,2018
90.1,RT,Y4,PL41,2018
81.5,RT,Y4,PL42,2018
83.7,RT,Y4,PL43,2018
86.3,RT,Y4,PL51,2018
92.7,RT,Y4,PL52,2018
77.4,RT,Y4,PL61,2018
76.0,RT,Y4,PL62,2018
82.0,RT,Y4,PL63,2018
87.1,RT,Y4,PL71,2018
83.1,RT,Y4,PL72,2018
88.4,RT,Y4,PL81,2018
83.5,RT,Y4,PL82,2018
84.4,RT,Y4,PL84,2018
100.0,RT,Y4,PL91,2018
81.4,RT,Y4,PL92,2018
97.2,RT,Y4,PT11,2018
96.6,RT,Y4,PT15,2018
96.4,RT,Y4,PT16,2018
85.0,RT,Y4,PT17,2018
98.3,RT,Y4,PT18,2018
96.7,RT,Y4,PT20,2018
97.7,RT,Y4,PT30,2018
86.8,RT,Y4,RO11,2018
84.1,RT,Y4,RO12,2018
73.8,RT,Y4,RO21,2018
80.5,RT,Y4,RO22,2018
81.6,RT,Y4,RO31,2018
77.1,RT,Y4,RO32,2018
85.7,RT,Y4,RO41,2018
79.5,RT,Y4,RO42,2018
69.5,RT,Y4,RS11,2018
65.5,RT,Y4,RS12,2018
50.7,RT,Y4,RS21,2018
43.5,RT,Y4,RS22,2018
92.7,RT,Y4,SE11,2018
94.4,RT,Y4,SE12,2018
94.9,RT,Y4,SE21,2018
94.6,RT,Y4,SE22,2018
93.7,RT,Y4,SE23,2018
95.0,RT,Y4,SE31,2018
98.1,RT,Y4,SE32,2018
94.6,RT,Y4,SE33,2018
90.6,RT,Y4,SI03,2018
93.0,RT,Y4,SI04,2018
86.2,RT,Y4,SK01,2018
88.2,RT,Y4,SK02,2018
82.1,RT,Y4,SK03,2018
66.2,RT,Y4,SK04,2018
,RT,Y4,TR10,2018
,RT,Y4,TR21,2018
,RT,Y4,TR22,2018
,RT,Y4,TR31,2018
,RT,Y4,TR32,2018
,RT,Y4,TR33,2018
,RT,Y4,TR41,2018
,RT,Y4,TR42,2018
,RT,Y4,TR51,2018
,RT,Y4,TR52,2018
,RT,Y4,TR61,2018
,RT,Y4,TR62,2018
,RT,Y4,TR63,2018
,RT,Y4,TR71,2018
,RT,Y4,TR72,2018
,RT,Y4,TR81,2018
,RT,Y4,TR82,2018
,RT,Y4,TR83,2018
,RT,Y4,TR90,2018
,RT,Y4,TRA1,2018
,RT,Y4,TRA2,2018
,RT,Y4,TRB1,2018
,RT,Y4,TRB2,2018
,RT,Y4,TRC1,2018
,RT,Y4,TRC2,2018
,RT,Y4,TRC3,2018
