values,indic_de,unit,geo,time
35.5,MEDAGEPOP,YR,AL011,2019
36.6,MEDAGEPOP,YR,AL012,2019
36.1,MEDAGEPOP,YR,AL013,2019
37.9,MEDAGEPOP,YR,AL014,2019
37.1,MEDAGEPOP,YR,AL015,2019
37.8,MEDAGEPOP,YR,AL021,2019
35.1,MEDAGEPOP,YR,AL022,2019
39.1,MEDAGEPOP,YR,AL031,2019
38.1,MEDAGEPOP,YR,AL032,2019
40.5,MEDAGEPOP,YR,AL033,2019
37.2,MEDAGEPOP,YR,AL034,2019
38.7,MEDAGEPOP,YR,AL035,2019
49.0,MEDAGEPOP,YR,AT111,2019
46.4,MEDAGEPOP,YR,AT112,2019
48.6,MEDAGEPOP,YR,AT113,2019
43.2,MEDAGEPOP,YR,AT121,2019
45.1,MEDAGEPOP,YR,AT122,2019
44.5,MEDAGEPOP,YR,AT123,2019
47.2,MEDAGEPOP,YR,AT124,2019
47.6,MEDAGEPOP,YR,AT125,2019
45.5,MEDAGEPOP,YR,AT126,2019
45.3,MEDAGEPOP,YR,AT127,2019
39.6,MEDAGEPOP,YR,AT130,2019
46.5,MEDAGEPOP,YR,AT211,2019
47.7,MEDAGEPOP,YR,AT212,2019
47.0,MEDAGEPOP,YR,AT213,2019
40.7,MEDAGEPOP,YR,AT221,2019
47.2,MEDAGEPOP,YR,AT222,2019
49.0,MEDAGEPOP,YR,AT223,2019
45.7,MEDAGEPOP,YR,AT224,2019
46.6,MEDAGEPOP,YR,AT225,2019
48.0,MEDAGEPOP,YR,AT226,2019
43.4,MEDAGEPOP,YR,AT311,2019
42.3,MEDAGEPOP,YR,AT312,2019
42.9,MEDAGEPOP,YR,AT313,2019
44.4,MEDAGEPOP,YR,AT314,2019
44.2,MEDAGEPOP,YR,AT315,2019
45.4,MEDAGEPOP,YR,AT321,2019
43.3,MEDAGEPOP,YR,AT322,2019
42.8,MEDAGEPOP,YR,AT323,2019
45.0,MEDAGEPOP,YR,AT331,2019
41.4,MEDAGEPOP,YR,AT332,2019
45.3,MEDAGEPOP,YR,AT333,2019
41.6,MEDAGEPOP,YR,AT334,2019
43.0,MEDAGEPOP,YR,AT335,2019
42.2,MEDAGEPOP,YR,AT341,2019
41.6,MEDAGEPOP,YR,AT342,2019
38.3,MEDAGEPOP,YR,BE100,2019
43.8,MEDAGEPOP,YR,BE211,2019
41.1,MEDAGEPOP,YR,BE212,2019
43.7,MEDAGEPOP,YR,BE213,2019
42.7,MEDAGEPOP,YR,BE221,2019
44.2,MEDAGEPOP,YR,BE222,2019
49.7,MEDAGEPOP,YR,BE223,2019
43.1,MEDAGEPOP,YR,BE231,2019
42.6,MEDAGEPOP,YR,BE232,2019
49.8,MEDAGEPOP,YR,BE233,2019
43.0,MEDAGEPOP,YR,BE234,2019
42.4,MEDAGEPOP,YR,BE235,2019
40.3,MEDAGEPOP,YR,BE236,2019
41.0,MEDAGEPOP,YR,BE241,2019
41.2,MEDAGEPOP,YR,BE242,2019
45.4,MEDAGEPOP,YR,BE251,2019
41.5,MEDAGEPOP,YR,BE252,2019
43.1,MEDAGEPOP,YR,BE253,2019
41.7,MEDAGEPOP,YR,BE254,2019
49.0,MEDAGEPOP,YR,BE255,2019
41.1,MEDAGEPOP,YR,BE256,2019
42.1,MEDAGEPOP,YR,BE257,2019
53.8,MEDAGEPOP,YR,BE258,2019
40.7,MEDAGEPOP,YR,BE310,2019
40.1,MEDAGEPOP,YR,BE321,2019
43.1,MEDAGEPOP,YR,BE322,2019
42.4,MEDAGEPOP,YR,BE323,2019
42.8,MEDAGEPOP,YR,BE324,2019
41.3,MEDAGEPOP,YR,BE325,2019
41.5,MEDAGEPOP,YR,BE326,2019
40.3,MEDAGEPOP,YR,BE327,2019
41.7,MEDAGEPOP,YR,BE331,2019
43.1,MEDAGEPOP,YR,BE332,2019
40.3,MEDAGEPOP,YR,BE334,2019
42.7,MEDAGEPOP,YR,BE335,2019
43.6,MEDAGEPOP,YR,BE336,2019
38.2,MEDAGEPOP,YR,BE341,2019
36.8,MEDAGEPOP,YR,BE342,2019
41.3,MEDAGEPOP,YR,BE343,2019
44.8,MEDAGEPOP,YR,BE344,2019
44.6,MEDAGEPOP,YR,BE345,2019
40.8,MEDAGEPOP,YR,BE351,2019
43.4,MEDAGEPOP,YR,BE352,2019
41.9,MEDAGEPOP,YR,BE353,2019
50.5,MEDAGEPOP,YR,BG311,2019
48.4,MEDAGEPOP,YR,BG312,2019
47.7,MEDAGEPOP,YR,BG313,2019
48.1,MEDAGEPOP,YR,BG314,2019
49.0,MEDAGEPOP,YR,BG315,2019
45.6,MEDAGEPOP,YR,BG321,2019
50.4,MEDAGEPOP,YR,BG322,2019
46.3,MEDAGEPOP,YR,BG323,2019
46.4,MEDAGEPOP,YR,BG324,2019
47.7,MEDAGEPOP,YR,BG325,2019
42.3,MEDAGEPOP,YR,BG331,2019
45.9,MEDAGEPOP,YR,BG332,2019
45.2,MEDAGEPOP,YR,BG333,2019
45.6,MEDAGEPOP,YR,BG334,2019
43.5,MEDAGEPOP,YR,BG341,2019
42.3,MEDAGEPOP,YR,BG342,2019
46.9,MEDAGEPOP,YR,BG343,2019
45.1,MEDAGEPOP,YR,BG344,2019
40.5,MEDAGEPOP,YR,BG411,2019
46.7,MEDAGEPOP,YR,BG412,2019
44.1,MEDAGEPOP,YR,BG413,2019
48.6,MEDAGEPOP,YR,BG414,2019
50.2,MEDAGEPOP,YR,BG415,2019
43.7,MEDAGEPOP,YR,BG421,2019
46.0,MEDAGEPOP,YR,BG422,2019
45.1,MEDAGEPOP,YR,BG423,2019
50.0,MEDAGEPOP,YR,BG424,2019
45.4,MEDAGEPOP,YR,BG425,2019
40.2,MEDAGEPOP,YR,CH011,2019
43.5,MEDAGEPOP,YR,CH012,2019
40.5,MEDAGEPOP,YR,CH013,2019
44.4,MEDAGEPOP,YR,CH021,2019
40.3,MEDAGEPOP,YR,CH022,2019
44.4,MEDAGEPOP,YR,CH023,2019
42.4,MEDAGEPOP,YR,CH024,2019
44.2,MEDAGEPOP,YR,CH025,2019
42.5,MEDAGEPOP,YR,CH031,2019
46.0,MEDAGEPOP,YR,CH032,2019
42.6,MEDAGEPOP,YR,CH033,2019
41.0,MEDAGEPOP,YR,CH040,2019
44.1,MEDAGEPOP,YR,CH051,2019
44.9,MEDAGEPOP,YR,CH052,2019
44.4,MEDAGEPOP,YR,CH053,2019
42.5,MEDAGEPOP,YR,CH054,2019
41.9,MEDAGEPOP,YR,CH055,2019
45.8,MEDAGEPOP,YR,CH056,2019
42.7,MEDAGEPOP,YR,CH057,2019
41.7,MEDAGEPOP,YR,CH061,2019
44.3,MEDAGEPOP,YR,CH062,2019
43.9,MEDAGEPOP,YR,CH063,2019
44.0,MEDAGEPOP,YR,CH064,2019
45.8,MEDAGEPOP,YR,CH065,2019
43.0,MEDAGEPOP,YR,CH066,2019
46.8,MEDAGEPOP,YR,CH070,2019
37.8,MEDAGEPOP,YR,CY000,2019
41.4,MEDAGEPOP,YR,CZ010,2019
41.7,MEDAGEPOP,YR,CZ020,2019
43.1,MEDAGEPOP,YR,CZ031,2019
43.0,MEDAGEPOP,YR,CZ032,2019
43.6,MEDAGEPOP,YR,CZ041,2019
42.6,MEDAGEPOP,YR,CZ042,2019
42.5,MEDAGEPOP,YR,CZ051,2019
43.5,MEDAGEPOP,YR,CZ052,2019
42.7,MEDAGEPOP,YR,CZ053,2019
43.1,MEDAGEPOP,YR,CZ063,2019
42.4,MEDAGEPOP,YR,CZ064,2019
43.1,MEDAGEPOP,YR,CZ071,2019
43.5,MEDAGEPOP,YR,CZ072,2019
43.2,MEDAGEPOP,YR,CZ080,2019
39.8,MEDAGEPOP,YR,DE111,2019
43.9,MEDAGEPOP,YR,DE112,2019
44.7,MEDAGEPOP,YR,DE113,2019
46.0,MEDAGEPOP,YR,DE114,2019
44.0,MEDAGEPOP,YR,DE115,2019
45.8,MEDAGEPOP,YR,DE116,2019
41.8,MEDAGEPOP,YR,DE117,2019
44.6,MEDAGEPOP,YR,DE118,2019
44.8,MEDAGEPOP,YR,DE119,2019
44.3,MEDAGEPOP,YR,DE11A,2019
47.4,MEDAGEPOP,YR,DE11B,2019
45.9,MEDAGEPOP,YR,DE11C,2019
45.2,MEDAGEPOP,YR,DE11D,2019
49.5,MEDAGEPOP,YR,DE121,2019
40.0,MEDAGEPOP,YR,DE122,2019
46.3,MEDAGEPOP,YR,DE123,2019
46.9,MEDAGEPOP,YR,DE124,2019
36.7,MEDAGEPOP,YR,DE125,2019
40.8,MEDAGEPOP,YR,DE126,2019
47.2,MEDAGEPOP,YR,DE127,2019
46.4,MEDAGEPOP,YR,DE128,2019
42.2,MEDAGEPOP,YR,DE129,2019
46.1,MEDAGEPOP,YR,DE12A,2019
46.5,MEDAGEPOP,YR,DE12B,2019
46.0,MEDAGEPOP,YR,DE12C,2019
37.5,MEDAGEPOP,YR,DE131,2019
46.5,MEDAGEPOP,YR,DE132,2019
46.3,MEDAGEPOP,YR,DE133,2019
45.9,MEDAGEPOP,YR,DE134,2019
46.0,MEDAGEPOP,YR,DE135,2019
46.0,MEDAGEPOP,YR,DE136,2019
