values,unit,isced11,sex,geo,time
9664.0,NR,ED0,T,AT11,2018
58193.0,NR,ED0,T,AT12,2018
82286.0,NR,ED0,T,AT13,2018
16342.0,NR,ED0,T,AT21,2018
33882.0,NR,ED0,T,AT22,2018
50731.0,NR,ED0,T,AT31,2018
19488.0,NR,ED0,T,AT32,2018
27833.0,NR,ED0,T,AT33,2018
15912.0,NR,ED0,T,AT34,2018
0.0,NR,ED0,T,ATZZ,2018
,NR,ED0,T,BE10,2018
,NR,ED0,T,BE21,2018
,NR,ED0,T,BE22,2018
,NR,ED0,T,BE23,2018
,NR,ED0,T,BE24,2018
,NR,ED0,T,BE25,2018
,NR,ED0,T,BE31,2018
,NR,ED0,T,BE32,2018
,NR,ED0,T,BE33,2018
,NR,ED0,T,BE34,2018
,NR,ED0,T,BE35,2018
,NR,ED0,T,BEZZ,2018
22384.0,NR,ED0,T,BG31,2018
22163.0,NR,ED0,T,BG32,2018
28760.0,NR,ED0,T,BG33,2018
34148.0,NR,ED0,T,BG34,2018
70357.0,NR,ED0,T,BG41,2018
43065.0,NR,ED0,T,BG42,2018
0.0,NR,ED0,T,BGZZ,2018
34114.0,NR,ED0,T,CH01,2018
36987.0,NR,ED0,T,CH02,2018
23454.0,NR,ED0,T,CH03,2018
32435.0,NR,ED0,T,CH04,2018
23330.0,NR,ED0,T,CH05,2018
14922.0,NR,ED0,T,CH06,2018
8695.0,NR,ED0,T,CH07,2018
0.0,NR,ED0,T,CHZZ,2018
32573.0,NR,ED0,T,CY00,2018
44177.0,NR,ED0,T,CZ01,2018
50678.0,NR,ED0,T,CZ02,2018
41956.0,NR,ED0,T,CZ03,2018
35349.0,NR,ED0,T,CZ04,2018
52812.0,NR,ED0,T,CZ05,2018
59618.0,NR,ED0,T,CZ06,2018
42357.0,NR,ED0,T,CZ07,2018
39444.0,NR,ED0,T,CZ08,2018
0.0,NR,ED0,T,CZZZ,2018
95836.0,NR,ED0,T,DK01,2018
36696.0,NR,ED0,T,DK02,2018
56782.0,NR,ED0,T,DK03,2018
67758.0,NR,ED0,T,DK04,2018
25457.0,NR,ED0,T,DK05,2018
0.0,NR,ED0,T,DKZZ,2018
