values,indic_de,unit,geo,time
20.5,PC_Y0_14,PC,AL011,2019
17.2,PC_Y0_14,PC,AL012,2019
20.8,PC_Y0_14,PC,AL013,2019
17.7,PC_Y0_14,PC,AL014,2019
17.1,PC_Y0_14,PC,AL015,2019
18.0,PC_Y0_14,PC,AL021,2019
16.8,PC_Y0_14,PC,AL022,2019
17.0,PC_Y0_14,PC,AL031,2019
17.2,PC_Y0_14,PC,AL032,2019
15.7,PC_Y0_14,PC,AL033,2019
17.2,PC_Y0_14,PC,AL034,2019
15.6,PC_Y0_14,PC,AL035,2019
12.6,PC_Y0_14,PC,AT111,2019
13.8,PC_Y0_14,PC,AT112,2019
12.4,PC_Y0_14,PC,AT113,2019
15.6,PC_Y0_14,PC,AT121,2019
14.5,PC_Y0_14,PC,AT122,2019
14.7,PC_Y0_14,PC,AT123,2019
13.2,PC_Y0_14,PC,AT124,2019
12.9,PC_Y0_14,PC,AT125,2019
14.8,PC_Y0_14,PC,AT126,2019
14.6,PC_Y0_14,PC,AT127,2019
14.6,PC_Y0_14,PC,AT130,2019
13.4,PC_Y0_14,PC,AT211,2019
13.1,PC_Y0_14,PC,AT212,2019
13.7,PC_Y0_14,PC,AT213,2019
13.7,PC_Y0_14,PC,AT221,2019
13.3,PC_Y0_14,PC,AT222,2019
11.9,PC_Y0_14,PC,AT223,2019
14.1,PC_Y0_14,PC,AT224,2019
13.2,PC_Y0_14,PC,AT225,2019
12.9,PC_Y0_14,PC,AT226,2019
14.9,PC_Y0_14,PC,AT311,2019
15.0,PC_Y0_14,PC,AT312,2019
16.0,PC_Y0_14,PC,AT313,2019
14.9,PC_Y0_14,PC,AT314,2019
15.0,PC_Y0_14,PC,AT315,2019
14.0,PC_Y0_14,PC,AT321,2019
15.0,PC_Y0_14,PC,AT322,2019
14.5,PC_Y0_14,PC,AT323,2019
14.2,PC_Y0_14,PC,AT331,2019
14.0,PC_Y0_14,PC,AT332,2019
14.6,PC_Y0_14,PC,AT333,2019
15.6,PC_Y0_14,PC,AT334,2019
15.0,PC_Y0_14,PC,AT335,2019
16.0,PC_Y0_14,PC,AT341,2019
16.1,PC_Y0_14,PC,AT342,2019
19.7,PC_Y0_14,PC,BE100,2019
17.7,PC_Y0_14,PC,BE211,2019
16.5,PC_Y0_14,PC,BE212,2019
15.7,PC_Y0_14,PC,BE213,2019
15.6,PC_Y0_14,PC,BE221,2019
15.6,PC_Y0_14,PC,BE222,2019
15.3,PC_Y0_14,PC,BE223,2019
16.2,PC_Y0_14,PC,BE231,2019
16.2,PC_Y0_14,PC,BE232,2019
15.2,PC_Y0_14,PC,BE233,2019
16.1,PC_Y0_14,PC,BE234,2019
16.7,PC_Y0_14,PC,BE235,2019
17.4,PC_Y0_14,PC,BE236,2019
18.1,PC_Y0_14,PC,BE241,2019
15.8,PC_Y0_14,PC,BE242,2019
13.6,PC_Y0_14,PC,BE251,2019
16.6,PC_Y0_14,PC,BE252,2019
16.3,PC_Y0_14,PC,BE253,2019
16.3,PC_Y0_14,PC,BE254,2019
13.4,PC_Y0_14,PC,BE255,2019
16.1,PC_Y0_14,PC,BE256,2019
16.1,PC_Y0_14,PC,BE257,2019
11.2,PC_Y0_14,PC,BE258,2019
17.0,PC_Y0_14,PC,BE310,2019
16.5,PC_Y0_14,PC,BE321,2019
17.9,PC_Y0_14,PC,BE322,2019
17.1,PC_Y0_14,PC,BE323,2019
18.3,PC_Y0_14,PC,BE324,2019
