,sofifa_id,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won_pct
0,20801.0,4.0,1.0,0.0,27.0,70.0,31.0,76.0,0.0,0.0,0.0,144.0,43.5
1,158023.0,3.0,0.0,0.0,31.0,101.0,19.0,89.0,1.0,0.0,0.0,189.0,36.4
2,190871.0,7.0,0.0,0.0,25.0,110.0,10.0,46.0,2.0,0.0,0.0,114.0,63.6
3,192985.0,2.0,0.0,0.0,19.0,24.0,1.0,112.0,0.0,0.0,0.0,114.0,42.1
4,155862.0,13.0,1.0,1.0,47.0,43.0,5.0,5.0,0.0,0.0,0.0,352.0,70.2
5,176580.0,10.0,0.0,0.0,46.0,90.0,40.0,60.0,5.0,0.0,0.0,164.0,39.3
6,177003.0,8.0,0.0,0.0,38.0,54.0,5.0,48.0,0.0,0.0,0.0,260.0,23.1
7,183277.0,2.0,0.0,0.0,14.0,154.0,12.0,121.0,1.0,0.0,0.0,207.0,36.8
8,182493.0,8.0,0.0,0.0,39.0,29.0,0.0,1.0,0.0,1.0,1.0,330.0,63.3
9,182521.0,3.0,0.0,0.0,37.0,76.0,2.0,85.0,0.0,0.0,0.0,267.0,39.4
10,188545.0,6.0,0.0,0.0,49.0,72.0,40.0,18.0,2.0,0.0,0.0,143.0,42.0
11,211110.0,4.0,0.0,0.0,25.0,85.0,7.0,56.0,2.0,0.0,0.0,185.0,26.3
12,197781.0,4.0,0.0,0.0,26.0,49.0,6.0,44.0,0.0,0.0,0.0,97.0,35.3
13,202126.0,6.0,0.0,0.0,42.0,78.0,20.0,27.0,2.0,0.0,0.0,111.0,40.8
14,194765.0,8.0,0.0,0.0,26.0,41.0,19.0,87.0,0.0,0.0,0.0,234.0,47.4
15,215914.0,6.0,0.0,0.0,49.0,27.0,6.0,30.0,0.0,0.0,0.0,440.0,31.1
16,138956.0,4.0,0.0,0.0,19.0,29.0,2.0,9.0,0.0,0.0,0.0,320.0,65.9
17,153079.0,7.0,0.0,0.0,30.0,33.0,33.0,21.0,0.0,0.0,0.0,144.0,41.9
18,168542.0,3.0,0.0,0.0,42.0,42.0,10.0,96.0,2.0,0.0,0.0,263.0,47.6
19,178603.0,4.0,0.0,0.0,22.0,12.0,2.0,2.0,0.0,1.0,0.0,302.0,71.2
20,179813.0,3.0,0.0,0.0,17.0,19.0,16.0,13.0,2.0,0.0,0.0,89.0,30.0
21,190460.0,4.0,0.0,0.0,22.0,27.0,5.0,86.0,0.0,0.0,0.0,415.0,16.7
22,195864.0,7.0,1.0,1.0,69.0,101.0,6.0,54.0,1.0,0.0,0.0,364.0,55.8
23,200145.0,9.0,1.0,1.0,77.0,57.0,1.0,12.0,1.0,3.0,0.0,403.0,60.8
