,sofifa_id,passes_pct,passes_completed,passes_total_distance,passes_progressive_distance,passes_pct_short,passes_pct_medium,passes_pct_long,assists,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
0,20801.0,81.7,1166.0,18214.0,3255.0,87.4,83.7,66.9,10.0,61.0,65.0,46.0,15.0,81.0
1,158023.0,79.8,2027.0,35717.0,11972.0,89.1,78.7,65.3,19.0,114.0,243.0,183.0,11.0,384.0
2,190871.0,78.3,1099.0,18731.0,7419.0,84.6,84.2,56.7,11.0,63.0,186.0,85.0,1.0,228.0
3,192985.0,76.1,743.0,14636.0,3943.0,87.1,81.4,56.3,10.0,42.0,77.0,51.0,10.0,95.0
4,155862.0,91.4,2064.0,44851.0,17138.0,94.7,93.9,83.2,1.0,8.0,165.0,7.0,0.0,111.0
5,176580.0,75.7,1046.0,16995.0,3084.0,82.3,76.0,72.3,11.0,75.0,50.0,52.0,5.0,89.0
6,177003.0,87.2,2046.0,38100.0,10533.0,92.7,89.0,77.6,7.0,57.0,244.0,52.0,6.0,216.0
7,183277.0,80.1,1845.0,32099.0,8735.0,86.2,83.2,65.7,17.0,115.0,143.0,125.0,12.0,263.0
8,182493.0,80.9,1071.0,22422.0,8956.0,90.1,88.2,60.3,3.0,6.0,73.0,6.0,0.0,72.0
9,182521.0,89.0,2599.0,53565.0,14858.0,95.5,93.0,75.7,5.0,87.0,327.0,28.0,4.0,246.0
10,188545.0,76.8,701.0,10756.0,2079.0,83.9,78.5,76.7,9.0,50.0,53.0,39.0,1.0,66.0
11,211110.0,84.4,1337.0,26347.0,5083.0,90.8,88.1,74.4,4.0,56.0,117.0,44.0,4.0,133.0
12,197781.0,85.0,1052.0,16706.0,4172.0,92.5,87.9,60.1,2.0,35.0,115.0,30.0,4.0,81.0
13,202126.0,73.4,560.0,10639.0,2704.0,79.8,78.6,61.1,6.0,39.0,75.0,25.0,3.0,96.0
14,194765.0,74.4,1384.0,22455.0,5948.0,83.2,76.6,50.6,11.0,86.0,96.0,89.0,10.0,161.0
15,215914.0,87.4,2102.0,33425.0,7516.0,89.8,90.6,76.2,4.0,51.0,176.0,49.0,9.0,171.0
16,138956.0,85.9,1505.0,34783.0,11425.0,92.2,92.6,70.6,1.0,10.0,138.0,8.0,3.0,109.0
17,153079.0,84.8,807.0,11122.0,1983.0,88.6,85.4,62.2,10.0,39.0,41.0,54.0,2.0,76.0
18,168542.0,85.1,2200.0,35596.0,7857.0,89.3,87.1,69.0,11.0,91.0,175.0,98.0,6.0,233.0
19,178603.0,89.4,1946.0,42790.0,13885.0,93.8,95.1,72.5,2.0,12.0,156.0,13.0,0.0,152.0
20,179813.0,76.9,340.0,5151.0,664.0,82.0,76.5,73.5,8.0,12.0,4.0,11.0,3.0,13.0
21,190460.0,77.3,2050.0,38820.0,11202.0,85.3,83.4,57.2,16.0,105.0,253.0,78.0,14.0,257.0
22,195864.0,82.3,2125.0,41407.0,11918.0,88.7,84.2,70.8,11.0,67.0,272.0,82.0,11.0,318.0
23,200145.0,88.4,1784.0,34497.0,8738.0,92.4,90.1,80.9,0.0,15.0,137.0,16.0,1.0,136.0
24,189242.0,85.7,1740.0,26477.0,5614.0,91.2,90.1,54.8,5.0,49.0,132.0,65.0,4.0,148.0
25,198710.0,83.0,1009.0,19729.0,5124.0,90.0,87.4,67.2,5.0,56.0,81.0,42.0,5.0,123.0
26,209331.0,73.5,1095.0,16330.0,4896.0,80.2,76.3,47.8,10.0,81.0,77.0,90.0,10.0,181.0
27,1179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,164240.0,93.5,2274.0,46265.0,17517.0,95.6,96.5,83.1,1.0,5.0,205.0,10.0,0.0,143.0
29,167664.0,77.6,256.0,3709.0,379.0,81.5,80.2,59.4,0.0,15.0,8.0,9.0,0.0,11.0
30,173731.0,73.9,738.0,12719.0,2739.0,84.9,69.6,57.9,6.0,23.0,54.0,32.0,11.0,62.0
31,176676.0,81.5,1509.0,25939.0,10069.0,92.6,83.9,52.1,4.0,42.0,143.0,68.0,17.0,205.0
32,189511.0,91.2,3077.0,57040.0,15113.0,92.8,93.5,85.2,1.0,26.0,321.0,21.0,0.0,226.0
33,198219.0,81.9,1498.0,25992.0,5094.0,87.3,85.0,66.0,6.0,74.0,107.0,54.0,9.0,142.0
34,231747.0,77.5,825.0,12162.0,2794.0,82.6,75.2,70.4,15.0,60.0,56.0,59.0,9.0,95.0
35,205600.0,93.9,903.0,17491.0,5845.0,96.0,95.2,86.8,1.0,1.0,60.0,0.0,0.0,61.0
36,201024.0,88.1,2968.0,59429.0,23531.0,94.0,92.7,69.2,2.0,9.0,268.0,8.0,2.0,214.0
37,201399.0,71.6,384.0,5856.0,1038.0,75.1,69.9,72.4,4.0,44.0,29.0,19.0,4.0,40.0
38,192505.0,66.4,472.0,7208.0,1624.0,76.8,55.4,58.4,3.0,28.0,37.0,31.0,4.0,55.0
39,152729.0,91.2,2868.0,59494.0,18934.0,93.6,94.6,79.4,2.0,10.0,188.0,5.0,0.0,134.0
40,168651.0,90.7,3195.0,57913.0,14296.0,93.8,92.9,79.7,10.0,24.0,349.0,47.0,6.0,230.0
41,171877.0,88.2,1139.0,22708.0,5071.0,94.0,90.9,74.5,1.0,22.0,140.0,13.0,0.0,122.0
42,172871.0,86.8,1765.0,38041.0,12216.0,91.7,92.0,72.4,1.0,4.0,149.0,9.0,5.0,116.0
43,175943.0,73.7,874.0,14345.0,3615.0,83.2,73.7,50.7,13.0,85.0,68.0,55.0,11.0,111.0
44,184941.0,70.4,359.0,6112.0,1838.0,80.8,69.0,52.9,4.0,23.0,31.0,31.0,6.0,57.0
45,188567.0,71.1,718.0,9680.0,2431.0,78.7,68.8,50.0,7.0,41.0,36.0,43.0,5.0,81.0
46,189332.0,85.9,3188.0,50413.0,18092.0,91.9,87.2,60.9,15.0,66.0,183.0,82.0,27.0,293.0
47,192387.0,75.4,829.0,11879.0,2362.0,81.6,74.4,60.2,11.0,65.0,48.0,37.0,4.0,82.0
48,193041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,222492.0,79.1,907.0,13166.0,2836.0,85.7,83.6,42.2,17.0,50.0,29.0,45.0,4.0,85.0
50,201535.0,89.6,1737.0,38868.0,10942.0,92.9,94.0,80.0,0.0,3.0,97.0,2.0,0.0,64.0
51,199556.0,91.2,2450.0,40135.0,13282.0,94.6,93.5,71.5,3.0,33.0,276.0,54.0,0.0,280.0
52,201942.0,80.3,1285.0,19224.0,5169.0,85.1,82.3,66.7,7.0,53.0,107.0,68.0,4.0,180.0
53,184432.0,85.2,2911.0,47767.0,16840.0,90.8,87.8,63.1,7.0,27.0,182.0,51.0,22.0,176.0
54,208722.0,75.9,1188.0,19639.0,4515.0,82.0,78.8,64.9,2.0,59.0,92.0,72.0,8.0,150.0
55,135507.0,87.0,2237.0,42018.0,11700.0,90.8,89.4,74.3,3.0,28.0,330.0,64.0,0.0,288.0
56,171919.0,82.5,442.0,11115.0,3469.0,85.7,89.9,70.0,0.0,3.0,34.0,4.0,0.0,33.0
57,176635.0,87.2,1442.0,23063.0,6006.0,91.4,89.4,66.5,3.0,61.0,136.0,68.0,12.0,168.0
58,177509.0,90.7,362.0,8079.0,2672.0,91.8,95.5,77.2,0.0,0.0,18.0,0.0,0.0,19.0
59,180206.0,87.3,2408.0,50291.0,12924.0,93.3,92.1,73.2,8.0,98.0,243.0,45.0,8.0,219.0
60,181458.0,68.1,1213.0,21063.0,5681.0,83.3,69.3,45.6,7.0,73.0,59.0,61.0,37.0,114.0
61,183907.0,87.3,1795.0,44427.0,14674.0,91.9,93.5,75.8,2.0,10.0,242.0,20.0,1.0,195.0
62,184344.0,87.3,2004.0,47895.0,17981.0,94.9,94.1,71.1,2.0,11.0,189.0,26.0,1.0,135.0
63,189509.0,89.8,2605.0,55738.0,13648.0,93.6,93.6,80.2,7.0,42.0,299.0,29.0,0.0,280.0
64,189513.0,83.1,2735.0,57424.0,20651.0,90.5,89.3,66.2,7.0,98.0,352.0,60.0,7.0,395.0
65,189596.0,73.7,1056.0,17819.0,3874.0,79.4,76.7,58.8,11.0,68.0,79.0,59.0,13.0,122.0
66,190483.0,77.4,335.0,6202.0,1524.0,86.5,82.1,60.0,0.0,22.0,26.0,21.0,7.0,42.0
67,191043.0,81.3,1971.0,36525.0,11756.0,90.6,85.4,58.6,2.0,48.0,131.0,51.0,20.0,177.0
68,191202.0,87.9,1958.0,37526.0,9723.0,91.9,89.9,78.0,0.0,18.0,213.0,27.0,5.0,176.0
69,192366.0,92.8,1506.0,32089.0,7792.0,95.7,94.7,84.9,1.0,2.0,94.0,2.0,0.0,56.0
70,220834.0,82.2,1006.0,16153.0,3818.0,90.0,85.9,60.7,5.0,43.0,65.0,54.0,18.0,96.0
71,232363.0,92.3,2697.0,53127.0,18353.0,95.4,95.1,79.9,1.0,9.0,152.0,8.0,3.0,152.0
72,208421.0,77.1,1537.0,25526.0,7660.0,85.5,79.3,50.4,3.0,20.0,137.0,28.0,6.0,138.0
73,223848.0,77.4,1317.0,23803.0,6813.0,82.3,78.3,73.2,3.0,49.0,152.0,59.0,7.0,187.0
74,209499.0,84.9,1763.0,34633.0,8192.0,88.7,89.6,68.7,2.0,20.0,195.0,28.0,2.0,167.0
75,216594.0,82.8,1075.0,18142.0,5057.0,90.1,85.2,62.6,10.0,62.0,127.0,31.0,5.0,115.0
76,202652.0,81.7,1403.0,19699.0,4146.0,89.2,82.7,45.7,14.0,85.0,27.0,68.0,7.0,114.0
77,212622.0,85.4,3063.0,59558.0,17095.0,92.6,89.2,67.3,18.0,94.0,208.0,81.0,26.0,247.0
78,192774.0,87.4,1176.0,24630.0,8720.0,90.7,91.8,74.1,1.0,3.0,53.0,4.0,1.0,72.0
79,197445.0,82.4,2128.0,37076.0,12783.0,89.4,86.5,58.8,7.0,41.0,193.0,54.0,25.0,181.0
80,203376.0,89.9,3331.0,75669.0,21699.0,92.6,94.5,79.0,4.0,10.0,225.0,9.0,0.0,183.0
81,184087.0,87.6,2692.0,65924.0,19504.0,93.1,94.2,74.5,0.0,9.0,246.0,28.0,1.0,162.0
82,193747.0,83.1,2127.0,36759.0,10998.0,92.2,87.4,57.1,6.0,70.0,231.0,45.0,8.0,186.0
83,9014.0,77.1,364.0,5913.0,1549.0,82.6,81.7,53.4,2.0,21.0,17.0,25.0,3.0,48.0
84,120533.0,82.2,143.0,3316.0,1143.0,93.0,90.9,60.8,0.0,0.0,12.0,0.0,0.0,11.0
85,139720.0,93.3,1319.0,28449.0,8991.0,93.9,95.2,89.1,1.0,4.0,121.0,1.0,0.0,79.0
86,156616.0,80.6,779.0,13103.0,3334.0,87.5,84.8,66.4,3.0,25.0,51.0,55.0,7.0,104.0
87,164169.0,82.6,1508.0,25525.0,9865.0,92.2,85.3,54.5,3.0,24.0,160.0,32.0,13.0,144.0
88,167397.0,77.7,582.0,7863.0,1206.0,82.1,80.0,58.7,2.0,21.0,40.0,11.0,1.0,40.0
89,168609.0,88.9,909.0,19218.0,6280.0,92.4,94.6,73.9,0.0,2.0,45.0,2.0,0.0,43.0
90,170890.0,86.5,1359.0,23502.0,6071.0,90.7,88.4,75.3,3.0,28.0,132.0,14.0,4.0,115.0
91,178518.0,81.6,1000.0,18275.0,3362.0,88.9,82.7,69.0,3.0,44.0,77.0,45.0,8.0,103.0
92,179844.0,73.1,299.0,4053.0,576.0,83.3,67.3,66.7,3.0,13.0,12.0,9.0,0.0,20.0
93,179846.0,85.9,367.0,6150.0,1253.0,91.7,90.3,64.7,1.0,4.0,23.0,6.0,2.0,23.0
94,180930.0,69.2,604.0,11034.0,2350.0,75.2,67.4,70.2,9.0,46.0,82.0,37.0,4.0,90.0
95,181872.0,89.6,1593.0,26539.0,5375.0,93.4,92.1,73.6,7.0,23.0,106.0,26.0,0.0,90.0
96,184267.0,81.0,201.0,3414.0,1044.0,83.8,86.6,81.8,4.0,7.0,34.0,9.0,1.0,35.0
97,188350.0,79.9,1055.0,16334.0,3859.0,85.9,79.8,67.4,10.0,46.0,88.0,56.0,7.0,118.0
98,192629.0,79.9,722.0,11754.0,2520.0,83.6,82.7,71.0,6.0,52.0,40.0,33.0,4.0,70.0
99,204485.0,80.9,908.0,16838.0,3697.0,88.0,84.7,63.5,12.0,37.0,37.0,56.0,16.0,91.0
