sofifa_id,mean_shooting,mean_passing,mean_dribbling,mean_defending,mean_impact,overall
20801.0,70.0,60.0,70.0,60.0,70.0,66.0
158023.0,80.0,80.0,90.0,70.0,90.0,82.0
190871.0,70.0,60.0,70.0,60.0,80.0,68.0
192985.0,50.0,60.0,70.0,70.0,80.0,66.0
155862.0,40.0,60.0,70.0,70.0,70.0,62.0
176580.0,60.0,60.0,60.0,70.0,90.0,68.0
177003.0,40.0,70.0,80.0,70.0,50.0,62.0
183277.0,60.0,80.0,90.0,70.0,50.0,70.0
182493.0,40.0,50.0,70.0,70.0,50.0,56.0
182521.0,40.0,70.0,80.0,80.0,50.0,64.0
188545.0,60.0,50.0,50.0,70.0,90.0,64.0
211110.0,60.0,60.0,60.0,70.0,60.0,62.0
197781.0,40.0,50.0,70.0,70.0,60.0,58.0
202126.0,60.0,50.0,50.0,70.0,60.0,58.0
194765.0,60.0,60.0,60.0,70.0,50.0,60.0
215914.0,40.0,60.0,70.0,80.0,50.0,60.0
138956.0,30.0,50.0,70.0,80.0,70.0,60.0
153079.0,60.0,50.0,50.0,70.0,80.0,62.0
168542.0,40.0,70.0,70.0,70.0,70.0,64.0
178603.0,30.0,60.0,70.0,80.0,70.0,62.0
179813.0,60.0,40.0,50.0,60.0,70.0,56.0
190460.0,50.0,80.0,70.0,70.0,70.0,68.0
195864.0,50.0,70.0,70.0,70.0,50.0,62.0
200145.0,40.0,50.0,70.0,80.0,50.0,58.0
189242.0,60.0,60.0,70.0,70.0,70.0,66.0
198710.0,50.0,60.0,70.0,60.0,60.0,60.0
209331.0,70.0,60.0,50.0,70.0,80.0,66.0
1179.0,30.0,20.0,50.0,60.0,30.0,38.0
164240.0,30.0,60.0,80.0,70.0,90.0,66.0
167664.0,40.0,40.0,60.0,60.0,40.0,48.0
173731.0,60.0,50.0,60.0,60.0,60.0,58.0
176676.0,40.0,60.0,70.0,70.0,40.0,56.0
189511.0,30.0,70.0,80.0,80.0,90.0,70.0
198219.0,50.0,60.0,70.0,60.0,60.0,60.0
231747.0,70.0,50.0,70.0,60.0,90.0,68.0
205600.0,30.0,50.0,60.0,60.0,50.0,50.0
201024.0,30.0,60.0,90.0,70.0,80.0,66.0
201399.0,50.0,40.0,50.0,70.0,50.0,52.0
192505.0,50.0,40.0,50.0,60.0,50.0,50.0
152729.0,40.0,60.0,90.0,90.0,90.0,74.0
168651.0,40.0,70.0,80.0,80.0,90.0,72.0
171877.0,40.0,50.0,60.0,70.0,50.0,54.0
172871.0,40.0,60.0,70.0,70.0,40.0,56.0
175943.0,60.0,50.0,60.0,70.0,70.0,62.0
184941.0,40.0,40.0,60.0,60.0,60.0,52.0
188567.0,60.0,50.0,50.0,70.0,60.0,58.0
189332.0,40.0,80.0,80.0,80.0,100.0,76.0
192387.0,50.0,50.0,60.0,60.0,50.0,54.0
193041.0,30.0,20.0,50.0,60.0,30.0,38.0
222492.0,50.0,60.0,60.0,70.0,90.0,66.0
201535.0,40.0,50.0,70.0,70.0,40.0,54.0
199556.0,40.0,60.0,80.0,80.0,70.0,66.0
201942.0,50.0,60.0,60.0,70.0,80.0,64.0
184432.0,40.0,70.0,70.0,90.0,50.0,64.0
208722.0,50.0,50.0,60.0,80.0,80.0,64.0
135507.0,40.0,70.0,70.0,80.0,70.0,66.0
171919.0,30.0,40.0,50.0,70.0,50.0,48.0
176635.0,50.0,60.0,70.0,60.0,50.0,58.0
177509.0,30.0,40.0,60.0,70.0,70.0,54.0
180206.0,40.0,70.0,70.0,60.0,70.0,62.0
181458.0,50.0,60.0,70.0,70.0,50.0,60.0
183907.0,30.0,60.0,70.0,70.0,80.0,62.0
184344.0,40.0,60.0,70.0,80.0,70.0,64.0
189509.0,40.0,70.0,90.0,80.0,80.0,72.0
189513.0,50.0,80.0,80.0,80.0,70.0,72.0
189596.0,50.0,60.0,60.0,70.0,90.0,66.0
190483.0,40.0,40.0,60.0,60.0,60.0,52.0
191043.0,30.0,60.0,70.0,80.0,70.0,62.0
191202.0,40.0,60.0,80.0,70.0,60.0,62.0
192366.0,30.0,50.0,80.0,70.0,80.0,62.0
220834.0,50.0,60.0,70.0,60.0,50.0,58.0
232363.0,30.0,60.0,80.0,80.0,50.0,60.0
208421.0,50.0,50.0,70.0,80.0,60.0,62.0
223848.0,40.0,60.0,70.0,70.0,60.0,60.0
209499.0,40.0,50.0,70.0,80.0,80.0,64.0
216594.0,60.0,60.0,70.0,70.0,50.0,62.0
202652.0,60.0,60.0,70.0,70.0,70.0,66.0
212622.0,40.0,90.0,90.0,80.0,100.0,80.0
192774.0,40.0,50.0,70.0,80.0,50.0,58.0
197445.0,40.0,70.0,70.0,80.0,70.0,66.0
203376.0,40.0,70.0,80.0,90.0,100.0,76.0
184087.0,30.0,70.0,70.0,80.0,70.0,64.0
193747.0,40.0,70.0,70.0,70.0,60.0,62.0
9014.0,50.0,40.0,50.0,60.0,50.0,50.0
120533.0,40.0,40.0,50.0,70.0,50.0,50.0
139720.0,40.0,50.0,70.0,70.0,80.0,62.0
156616.0,40.0,50.0,60.0,60.0,70.0,56.0
164169.0,40.0,60.0,70.0,80.0,60.0,62.0
167397.0,50.0,40.0,50.0,60.0,30.0,46.0
168609.0,30.0,50.0,50.0,70.0,50.0,50.0
170890.0,40.0,50.0,60.0,80.0,70.0,60.0
178518.0,50.0,50.0,60.0,70.0,70.0,60.0
179844.0,40.0,40.0,50.0,60.0,50.0,48.0
179846.0,40.0,40.0,60.0,70.0,70.0,56.0
180930.0,60.0,50.0,60.0,60.0,50.0,56.0
181872.0,40.0,50.0,60.0,80.0,60.0,58.0
184267.0,50.0,40.0,50.0,70.0,90.0,60.0
188350.0,60.0,50.0,60.0,70.0,70.0,62.0
192629.0,60.0,50.0,60.0,60.0,60.0,58.0
204485.0,50.0,60.0,60.0,70.0,80.0,64.0
